scope,run,profile_mix,profiles,total_events,size_gb,benign_events,malicious_events,malicious_ratio_percent
single-host,1,Admin338 + APT41 + GorgonGroup + APT28,4,4816815,1.742,4784258,32557,0.68
single-host,2,Admin338 + Higaisa + APT1 + APT37,4,3012450,1.054,2982743,29707,0.99
single-host,3,APT18 + APT3 + Patchwork + Admin338,4,4752760,1.706,4722495,30265,0.64
single-host,4,APT18 + APT42 + Patchwork + APT33,4,6076437,2.146,6046676,29761,0.49
single-host,5,APT1 + APT32 + APT39 + FIN7,4,3039155,1.082,3007791,31364,1.03
single-host,6,APT1 + GorgonGroup + Admin338 + APT3,4,4522085,1.611,4489101,32984,0.73
single-host,7,APT29 + Gamaredon + APT33 + Patchwork,4,6094284,2.152,6064704,29580,0.49
single-host,8,APT37 + APT18 + APT1 + APT28,4,2805418,0.998,2748387,57031,2.03
single-host,9,APT37 + APT33 + CobaltGroup + APT1,4,3818831,1.402,3788454,30377,0.80
single-host,10,APT37 + APT3 + FIN7 + APT28,4,3673256,1.298,3643701,29555,0.80
single-host,11,APT37 + FIN7 + APT18 + APT1,4,2942046,1.034,2912264,29782,1.01
single-host,12,APT3 + APT42 + FIN7 + APT28,4,3324085,1.194,3295044,29041,0.87
single-host,13,APT42 + APT32 + APT39 + Higaisa,4,4609563,1.650,4605741,3822,0.08
single-host,14,APT42 + APT32 + Higaisa + Patchwork,4,5173324,1.837,5144703,28621,0.55
single-host,15,APT42 + APT39 + Admin338 + Gamaredon,4,4446380,1.521,4441969,4411,0.10
single-host,16,APT42 + Gamaredon + APT33 + APT3,4,4694657,1.613,4693360,1297,0.03
single-host,17,APT5 + FIN7 + APT42 + APT1,4,5574927,1.944,5544953,29974,0.54
single-host,18,APT5 + Patchwork + CobaltGroup + APT37,4,5631959,2.075,5601024,30935,0.55
single-host,19,GorgonGroup + Higaisa + APT32 + APT42,4,5688324,2.035,5683941,4383,0.08
single-host,20,Patchwork + APT37 + APT32 + APT42,4,8595232,3.267,8567072,28160,0.33
multi-host,1,BlackMatter + APT1 + APT28 + APT37,4,2925744,1.940,2918248,7496,0.26
multi-host,2,BlackMatter + APT33 + GorgonGroup + Higaisa,4,3052723,2.013,3052085,638,0.02
multi-host,3,BlackMatter + APT39 + Admin338 + APT28,4,2800469,1.862,2799829,640,0.02
multi-host,4,BlackMatter + APT41 + APT39 + APT29,4,2993340,1.981,2992622,718,0.02
multi-host,5,BlackMatter + APT5 + FIN7 + Admin338,4,2896582,1.920,2889120,7462,0.26
multi-host,6,BlackMatter + Gamaredon + APT28 + APT29,4,2967851,1.952,2967201,650,0.02
multi-host,7,LockBit3 + APT42 + APT3 + Higaisa,4,2987462,1.993,2979699,7763,0.26
multi-host,8,LockBit3 + APT5 + Higaisa + GorgonGroup,4,4728145,3.016,4720344,7801,0.16
multi-host,9,PlayCrypt + APT42 + Higaisa + APT39,4,4262129,2.747,4260821,1308,0.03
multi-host,10,ViceSociety + APT18 + APT39 + APT41,4,3056184,2.040,3054029,2155,0.07
multi-host,11,ViceSociety + APT33 + Admin338 + APT39,4,3173128,2.111,3171023,2105,0.07
multi-host,12,ViceSociety + APT37 + APT5 + APT28,4,3114334,2.092,3105344,8990,0.29
multi-host,13,ViceSociety + APT42 + FIN7 + APT3,4,3110217,2.086,3101207,9010,0.29
multi-host,14,ViceSociety + APT5 + Patchwork + FIN7,4,3532733,2.319,3523773,8960,0.25
multi-host,15,VoltTyphoon + Admin338 + Gamaredon + APT42,4,3652701,2.401,3649937,2764,0.08
multi-host,16,VoltTyphoon + APT39 + APT1 + APT33,4,4122780,2.703,4113208,9572,0.23
multi-host,17,Wocao + APT41 + CobaltGroup + Patchwork,4,5406607,3.541,5404666,1941,0.04
multi-host,18,Wocao + APT5 + Higaisa + APT39,4,6638475,4.314,6629728,8747,0.13
multi-host,19,Wocao + FIN7 + Gamaredon + APT18,4,4155940,2.779,4154052,1888,0.05
multi-host,20,Wocao + Higaisa + CobaltGroup + FIN7,4,5028499,3.285,5026621,1878,0.04
